ID,Name,Age,Potential,Value,Height,Weight,SprintSpeed,Stamina,Strength,Balance,Agility
47201,S. Proto,35,76,1800000,182.88,73.94,46,27,61,61,58
48722,J. Inamoto,38,58,20000,180.34,77.11,39,30,51,59,50
48745,F. Coloccini,36,72,425000,182.88,83.01,44,54,78,59,55
48940,P. ech,36,82,3000000,195.58,89.81,38,32,63,34,46
49000,A. McGregor,36,75,900000,182.88,73.94,41,30,71,51,65
49031,S. Sorrentino,39,80,1000000,185.42,84.82,40,28,74,48,52
49045,K. Boyd,34,72,1600000,185.42,83.01,46,54,88,61,64
49161,O. Deschacht,37,71,325000,182.88,81.19,52,67,72,59,57
49212,J. Speroni,39,68,60000,185.42,79.83,39,33,43,55,46
49369,Fernando Torres,34,80,8000000,185.42,78.93,78,60,72,51,70
49472,L. Butelle,35,75,1600000,187.96,83.91,37,28,69,28,37
49488,E. Didot,34,74,1700000,175.26,69.85,34,66,62,75,67
49511,F. Kippe,40,65,0,193.04,97.07,25,41,93,31,27
49575,M. Andersson,37,59,20000,180.34,69.85,30,31,64,62,31
49589,J. Jnsson,34,64,140000,182.88,74.84,44,30,77,57,58
49659,K. Ziani,35,69,450000,170.18,66.22,61,70,41,91,85
49756,J. Poulsen,34,73,1900000,180.34,73.94,63,80,70,73,70
49939,A. Nef,36,64,60000,190.5,88,38,31,83,30,31
49966,P. Senderos,33,67,300000,187.96,83.91,34,63,85,40,29
50294,S. Camara,35,68,400000,175.26,74.84,50,34,60,79,68
50531,O. Storflor,38,63,120000,180.34,74.84,55,49,63,70,57
50542,J. Defoe,35,77,4100000,170.18,64.86,63,55,54,87,77
50632,P. Clarke,36,64,60000,182.88,83.01,33,62,80,32,49
50955,J. Cavalli,36,71,800000,170.18,64.86,72,73,63,85,81
51101,M. Domizzi,38,71,325000,185.42,79.83,37,34,78,56,34
51123,M. Bodmer,35,70,750000,190.5,89.81,31,34,76,38,34
51159,Nelson Ferreira,36,66,220000,175.26,72.12,75,64,62,83,82
51257,P. Crouch,37,72,1100000,200.66,74.84,32,43,70,28,46
51261,B. Myhill,35,70,425000,190.5,92.08,46,29,63,48,51
51353,K. Miller,38,69,375000,177.8,71.21,65,82,69,67,70
51694,H. Opdal,36,65,70000,187.96,92.08,39,27,65,50,37
51887,A. Le Tallec,33,66,400000,182.88,73.03,52,64,60,59,47
51921,A. Chambers,37,63,120000,177.8,71.21,55,85,78,75,60
51963,T. Warner,44,53,0,193.04,83.91,21,25,58,38,27
52126,F. Balmont,38,71,750000,167.64,72.12,38,54,60,80,61
52306,C. Brunt,33,72,1800000,185.42,83.91,53,60,69,61,62
52326,E. Jakupovi,33,72,1600000,190.5,84.82,45,31,62,45,38
52340,M. Mari,34,66,200000,187.96,88.9,34,67,79,58,37
52498,M. Lehmann,35,72,725000,177.8,74.84,32,70,71,65,63
52679,J. Murphy,36,62,40000,187.96,88,39,32,55,44,38
52752,T. Barnetta,33,72,1900000,177.8,69.85,65,51,60,73,66
52842,Camacho,37,67,260000,180.34,74.84,42,34,69,55,42
53050,E. Adebayor,34,79,6500000,193.04,82.1,70,57,82,52,65
53073,S. Kulovits,35,67,180000,177.8,69.85,46,80,60,76,76
53110,C. Gordon,35,74,1300000,193.04,83.01,35,25,68,51,57
53302,D. De Rossi,34,83,8000000,182.88,83.01,67,74,81,72,64
53352,D. Bulman,39,60,50000,175.26,74.84,47,79,72,71,38
53363,A. Collin,33,62,150000,190.5,78.02,29,27,63,48,43
53412,A. Ferdinand,33,65,220000,182.88,71.21,55,64,73,57,60
53502,D. Sjlund,35,66,270000,177.8,79.83,30,71,70,68,60
53630,J. Van Damme,34,73,1200000,190.5,88.9,65,78,90,34,49
53655,J. Bothroyd,36,65,190000,190.5,88.9,31,52,82,31,37
53736,L. Camp,33,67,375000,182.88,73.94,40,38,70,65,62
53739,L. Grant,35,74,1300000,193.04,83.01,46,39,71,56,56
53741,L. Holmes,31,66,575000,175.26,66.22,78,66,57,79,82
53748,K. Pilkington,44,48,0,187.96,86.18,17,22,44,31,31
53756,L. Price,33,62,150000,190.5,84.82,39,44,73,53,54
53778,M. Richards,35,63,170000,180.34,81.19,38,68,79,64,59
53818,M. Bloomfield,34,63,180000,172.72,73.03,66,89,65,82,62
53827,M. Taylor,36,62,30000,177.8,73.03,36,72,70,70,56
53842,M. Tonge,35,60,90000,182.88,73.94,37,40,55,56,56
53855,N. Tyson,36,64,150000,182.88,63.96,86,75,64,65,66
53914,P. Jagielka,35,77,2100000,180.34,87.09,51,50,77,61,45
53960,S. Russell,35,59,40000,182.88,69.85,40,39,51,55,46
54008,S. Bywater,37,63,20000,185.42,81.19,58,33,70,48,58
54013,S. Downing,33,72,1900000,180.34,63.96,66,71,63,73,72
54033,T. Huddlestone,31,73,2700000,187.96,79.83,48,34,87,44,33
54037,T. Berni,35,64,110000,185.42,79.83,29,26,43,35,37
54050,W. Rooney,32,80,12000000,175.26,83.01,65,74,78,77,66
54051,W. Routledge,33,71,1400000,170.18,77.11,69,53,63,87,77
100803,K. Henry,35,67,180000,185.42,79.83,52,60,79,59,50
100899,S. Phillips,40,52,0,185.42,74.84,32,23,53,33,38
101317,M. Ratajczak,36,63,50000,187.96,84.82,47,30,71,31,38
101473,T. Kuszczak,36,69,140000,190.5,83.91,35,34,60,48,46
101488,D. Haas,34,66,260000,187.96,88.9,35,42,74,34,33
101880,R. Green,38,72,210000,187.96,92.08,32,26,59,40,47
102056,S. Padoin,34,71,675000,177.8,73.03,68,59,65,79,69
102064,C. Terzi,34,72,950000,180.34,68.95,61,77,77,77,47
102084,L. Belingheri,35,67,325000,182.88,69.85,69,70,68,66,77
102593,C. Woodman,35,62,70000,175.26,68.04,57,73,66,70,63
102881,K. Stamatopoulos,38,57,10000,187.96,79.83,35,40,72,63,34
104389,R. Jarstein,33,83,13000000,190.5,82.1,46,31,70,45,35
104442,C. Burke,34,67,375000,175.26,68.04,73,72,65,78,78
104476,C. Grindheim,34,67,375000,177.8,73.94,39,66,75,79,60
104702,D. Braaten,36,67,260000,182.88,93.89,67,49,88,62,66
104737,B. Roche,36,63,50000,193.04,89.81,24,19,74,53,40
104900,M. Gurski,39,60,10000,187.96,88.9,28,29,75,37,31
105308,J. Gillet,39,70,120000,180.34,86.18,39,23,62,60,62
105318,J. Valdes,37,73,1300000,175.26,73.94,65,61,61,71,71
105533,L. Zauska,36,67,100000,190.5,88,41,28,72,46,43
105827,P. Broek,35,66,300000,180.34,72.12,47,32,82,67,64
105846,A. Boruc,38,74,375000,193.04,87.09,39,31,69,40,40
105866,C. Bovo,35,70,425000,180.34,78.93,40,46,79,51,50
106231,Aduriz,37,82,8000000,182.88,78.02,66,60,82,55,50
106795,G. Pegolo,37,71,160000,182.88,76.2,42,33,54,47,50
107084,M. Langer,33,65,270000,195.58,92.99,32,32,83,34,22
107298,Y. Pele,35,75,1600000,195.58,88.9,47,32,78,54,42
107305,M. Tacalfred,37,65,70000,175.26,78.02,34,52,71,69,43
108061,R. Ziegler,32,70,1000000,182.88,79.83,63,70,73,60,51
108080,S. Lichtsteiner,34,79,3600000,182.88,76.2,69,76,70,77,73
109852,G. McAuley,38,72,425000,190.5,88.9,30,33,76,33,33
110019,Dorado,35,71,550000,180.34,69.85,34,33,71,60,43
110376,Jonatan Soriano,32,77,7000000,180.34,72.12,53,70,69,70,79
110606,A. Mannus,36,65,70000,187.96,92.08,50,30,64,61,41
110638,Cifuentes,39,73,270000,190.5,78.02,46,39,68,42,31
110677,Moya,34,80,6000000,187.96,83.01,34,30,57,49,54
110680,Xisco Campos,36,66,70000,180.34,73.94,69,62,71,62,69
110787,Borja Fernandez,37,70,240000,187.96,82.1,33,52,83,47,43
110974,Riesgo,34,73,1600000,185.42,76.2,55,41,68,58,51
111206,S. Riether,35,69,230000,175.26,72.12,53,49,62,74,69
111328,L. McCormick,34,64,180000,182.88,88,42,28,63,50,46
111503,C. Ben Saada,34,63,190000,170.18,64.86,58,33,36,70,59
111590,L. Feeney,31,67,675000,182.88,76.2,82,75,67,70,77
111661,C. Kameni,34,75,2700000,185.42,86.18,45,40,79,57,65
112244,J. Plail,36,71,750000,182.88,71.21,36,34,54,69,64
112316,J. Mathieu,34,81,5500000,187.96,83.91,74,78,89,43,52
112362,F. Zoko,34,64,240000,182.88,74.84,71,75,78,76,76
112365,R. Cohade,33,74,3300000,180.34,74.84,52,72,68,72,61
112373,A. Balijon,35,66,150000,182.88,79.83,36,30,59,42,43
113422,David Villa,36,82,8000000,175.26,68.95,67,70,66,73,71
113524,Nino,38,70,625000,170.18,68.04,54,55,59,80,72
114356,M. Wlfli,35,68,210000,185.42,88,42,24,59,52,46
114764,Iraizoz,37,75,450000,190.5,88.9,33,33,83,52,28
115533,D. Benaglio,34,77,3600000,193.04,88.9,44,43,76,47,44
115909,Ruben Castro,37,77,3200000,170.18,68.04,73,55,57,77,85
116308,R. Fanni,36,74,750000,185.42,81.19,65,65,79,68,64
116314,D. Martin,32,66,375000,187.96,86.18,36,38,70,40,59
116762,S. Roudet,37,69,350000,175.26,71.21,57,52,63,72,73
116917,D. Perquis,32,69,600000,185.42,82.1,49,34,56,60,54
117063,N. Douchez,38,66,40000,185.42,84.82,42,32,59,41,32
118359,L. Miller,35,65,250000,187.96,77.11,54,70,83,53,55
118646,I. Henderson,33,67,475000,177.8,67.13,64,69,69,75,74
118794,A. Lonergan,34,65,220000,193.04,87.09,41,28,56,42,50
118868,C. Kallqvist,34,63,150000,193.04,96.16,23,30,80,19,18
119233,T. Mears,35,66,140000,180.34,73.94,65,64,70,68,66
120243,P. Gori,38,63,20000,187.96,83.01,35,41,54,31,52
120312,M. Dawson,34,71,725000,187.96,76.2,28,50,78,50,44
120415,S. Shearer,37,59,10000,190.5,88.9,38,31,63,48,42
120533,Pepe,35,85,9000000,187.96,81.19,70,60,86,49,63
121134,A. Walke,35,72,725000,187.96,88,33,38,70,42,41
121933,R. Adler,33,79,6500000,190.5,84.82,32,22,66,43,49
121937,M. Rensing,34,73,1600000,190.5,92.99,42,31,72,45,47
121944,B. Schweinsteiger,33,80,6000000,182.88,78.93,37,67,75,63,61
121980,A. Poggenborg,34,60,80000,185.42,84.82,38,22,69,36,30
121988,L. Kruse,34,66,260000,185.42,83.91,32,32,64,44,41
122066,R. Knig,35,65,250000,190.5,92.99,30,48,93,40,38
122574,S. Whittaker,34,68,250000,185.42,87.09,60,81,71,57,72
122718,P. Heerwagen,35,64,110000,193.04,88.9,36,22,69,34,30
122849,A. Kone,34,74,3000000,182.88,81.19,76,75,76,61,73
123603,H. Campagnaro,38,70,240000,180.34,84.82,42,39,86,70,51
124337,A. Turan,34,71,725000,185.42,81.19,33,33,76,43,34
124375,B. Ylmaz,32,79,10000000,187.96,77.11,79,69,79,48,72
124388,O. Äek,27,72,2200000,172.72,69.85,78,78,59,78,78
124607,S. nan,33,75,3900000,182.88,73.94,45,66,65,61,58
124635,M. Topal,32,76,4400000,187.96,82.1,58,83,77,62,64
125132,B. Krk,38,65,40000,187.96,73.03,59,34,50,54,41
125586,S. Andersen,36,68,120000,187.96,82.1,44,35,70,62,56
125871,H. Kaldrm,28,73,3200000,182.88,74.84,73,80,66,72,68
125995,U. Bulut,35,71,1100000,182.88,74.84,65,69,73,44,38
126883,A. Durak,31,67,525000,180.34,79.83,69,72,65,76,77
128529,U. Ceylan,32,69,600000,193.04,84.82,54,29,61,41,51
129566,P. McShane,32,68,525000,182.88,81.19,44,53,77,57,47
131444,R. WÅrtz,34,68,425000,177.8,72.12,46,63,69,72,64
132740,J. Hansen,33,75,3400000,187.96,78.02,42,44,68,64,48
133249,E. Hallfresson,34,72,1500000,185.42,86.18,54,54,77,69,61
134777,G. Bourillon,34,67,230000,187.96,78.02,35,60,71,52,32
134779,J. Briand,32,76,6000000,180.34,83.91,71,69,77,66,77
134792,D. Bowditch,32,63,290000,180.34,72.12,62,69,57,69,73
134820,S. Brown,33,77,3600000,175.26,79.83,68,87,77,73,77
134828,K. Broadfoot,33,67,300000,190.5,88.9,31,64,82,34,27
134895,R. Hilbert,33,71,900000,182.88,79.83,66,71,68,67,67
135032,N. Zimling,33,67,450000,177.8,73.03,37,65,67,76,64
135043,A. Lindegaard,34,68,375000,193.04,84.82,52,25,69,54,53
135190,M. Liendl,32,70,1300000,175.26,73.94,53,68,58,68,72
135218,D. Perquis,34,64,140000,185.42,81.19,49,78,73,53,59
135451,Gomes,37,77,600000,190.5,94.8,52,27,64,53,56
135507,Fernandinho,33,86,18000000,177.8,67.13,67,79,76,78,72
135576,Diego Barcelos,33,69,650000,170.18,69.85,63,43,44,78,76
135587,N. Maenpaa,33,69,525000,190.5,86.18,38,38,61,30,55
135646,L. Walthert,34,62,120000,177.8,72.12,42,37,63,42,46
135647,P. Calandria,36,69,375000,182.88,79.83,62,52,80,56,58
135697,Sergio Garca,35,77,4100000,175.26,72.12,69,54,72,73,66
135742,Alexis,32,74,3200000,182.88,74.84,60,68,77,60,61
135743,Alex Geijo,36,69,375000,187.96,81.19,65,62,89,56,69
135883,S. Francis,33,75,2700000,187.96,89.81,54,55,77,58,51
135891,K. Overmeire,32,70,1000000,187.96,83.91,69,85,81,59,61
136069,Accioly,37,67,100000,187.96,82.1,31,52,74,58,45
136113,W. Morgan,34,75,2000000,185.42,101.15,30,50,87,48,28
136363,Jung Jo Gook,34,69,550000,185.42,77.11,63,51,76,59,61
136504,Cho Sung Hwan,36,64,60000,182.88,78.02,45,33,76,53,39
136553,Lee Dong Gook,39,68,260000,187.96,83.01,54,38,67,63,29
136601,Kim Yong Dae,38,66,40000,187.96,81.19,51,22,70,58,52
137109,S. Schaars,34,73,1200000,177.8,74.84,30,54,67,65,57
137114,M. Ciani,34,69,325000,193.04,88,35,58,92,32,31
137166,P. Jones,32,63,210000,190.5,83.01,33,32,61,44,48
137186,A. Barzagli,37,84,4200000,187.96,87.09,77,53,83,64,52
137242,L. Jimenez,34,72,1600000,182.88,74.84,67,54,64,74,65
137267,R. Clark,35,66,150000,177.8,74.84,67,73,72,68,63
137351,D. Baier,34,79,3800000,175.26,78.02,43,72,67,75,71
137356,S. Farelli,35,58,30000,185.42,82.1,40,32,54,43,42
137359,C. Lepoint,33,68,375000,187.96,83.01,50,82,85,46,35
137361,G. Pazzini,33,73,2500000,180.34,78.02,61,58,67,80,71
137373,M. Gobbi,37,71,270000,182.88,76.2,63,53,69,65,60
137406,D. Croce,35,70,750000,172.72,69.85,77,76,71,81,81
137410,D. Gastaldello,35,71,550000,185.42,77.11,39,44,79,59,38
137449,J. Callsen-Bracker,33,71,950000,187.96,83.91,33,33,72,42,35
137460,A. Rosina,34,73,2000000,170.18,68.95,71,72,34,91,87
137506,G. Pandev,34,75,3500000,182.88,74.84,52,44,62,72,63
137510,A. Kruiswijk,33,65,210000,187.96,77.11,40,61,69,64,49
137677,M. Vorm,34,77,3600000,182.88,83.91,54,36,65,53,63
137686,A. Hadouir,35,66,280000,172.72,68.04,65,33,50,79,70
137699,M. Stoll,35,64,110000,187.96,79.83,31,31,75,53,50
137708,F. Dick,33,66,250000,182.88,83.91,61,64,76,58,58
137774,D. Maietta,35,72,725000,182.88,74.84,33,50,77,52,33
137809,Vagner Love,34,77,4700000,170.18,72.12,73,73,75,82,77
137987,J. Lotiäs,33,67,300000,190.5,83.01,33,33,80,29,30
138026,D. Verhulst,30,69,675000,193.04,94.8,26,18,72,53,28
138083,N. Hunt,34,55,30000,185.42,86.18,41,66,81,55,34
138086,L. Kryger,35,59,70000,187.96,74.84,50,48,66,50,64
138091,A. Egholm,35,61,60000,187.96,86.18,31,48,83,33,50
138110,Bruno Alves,36,71,325000,187.96,81.19,38,64,88,61,66
138151,J. Welsh,34,65,160000,170.18,73.03,34,63,77,70,41
138153,D. Potter,33,64,180000,185.42,72.12,52,66,73,58,63
138180,J. Campbell-Ryce,35,62,130000,170.18,78.02,76,65,59,81,77
138181,M. Turner,34,67,230000,193.04,89.81,34,69,81,30,29
138247,K. Stuhr-Ellegaard,35,70,425000,195.58,92.99,43,30,77,30,31
138251,R. Foster,32,64,250000,175.26,73.03,82,76,71,77,81
138279,L. Dyer,35,65,240000,172.72,69.85,83,64,69,75,80
138297,A. Alvarez,33,65,325000,175.26,77.11,72,42,59,72,72
138306,Angulo,34,72,1600000,180.34,77.11,81,71,71,71,73
138334,M. El Hamdaoui,33,67,475000,182.88,83.91,52,49,65,55,67
138336,B. Holman,34,69,525000,177.8,74.84,67,74,70,71,67
138384,M. Janko,35,69,475000,195.58,92.08,42,59,89,36,45
138390,D. Fox,34,65,160000,175.26,77.11,44,64,59,83,67
138412,J. Milner,32,81,13500000,175.26,69.85,62,91,71,73,69
138413,M. Kilgallon,34,68,270000,187.96,78.93,48,69,73,52,46
138427,D. Pipe,34,56,30000,175.26,77.11,56,66,85,72,53
138436,J. Walters,34,71,1200000,182.88,78.93,53,52,72,67,65
138456,Diego Tardelli,33,76,4700000,177.8,72.12,71,72,63,75,77
138460,R. Hubnk,34,74,1700000,193.04,88,69,63,82,40,50
138698,A. Abdi,31,69,900000,180.34,74.84,54,49,57,70,66
138699,B. Demaili,32,77,6500000,177.8,73.03,65,77,67,68,68
138722,B. Jones,31,67,500000,180.34,77.11,54,76,67,68,69
138729,K. RisgÜrd,35,65,230000,182.88,78.93,62,61,72,69,61
138782,D. Fletcher,34,71,1200000,182.88,83.01,44,63,72,61,53
138786,B. Williams,35,58,30000,187.96,86.18,46,28,70,52,61
138798,G. Lux,36,71,325000,185.42,77.11,32,43,71,55,38
138830,D. Lewington,34,64,130000,182.88,86.18,40,76,77,55,67
138918,L. Rigoni,33,75,3900000,185.42,76.2,68,74,70,58,62
138956,G. Chiellini,33,89,27000000,187.96,84.82,75,65,89,55,54
138981,Tiago Gomes,31,67,500000,177.8,72.12,66,55,63,73,64
139057,C. Rodrguez,36,68,100000,167.64,64.86,70,74,68,81,71
139058,O. Perez,37,73,1300000,180.34,82.1,51,34,80,74,60
139062,W. Caballero,36,76,1000000,185.42,81.19,46,37,69,55,39
139068,Nani,31,81,15500000,177.8,68.04,74,74,62,77,92
139213,L. Michel,38,66,40000,182.88,73.94,52,21,65,53,70
139229,C. Salcido,38,69,140000,175.26,79.83,34,66,79,67,57
139257,D. Lopar,33,64,230000,187.96,84.82,38,31,56,48,44
139274,B. Cesar,35,73,950000,190.5,88.9,31,46,92,34,30
139296,D. Nugent,33,71,1500000,180.34,76.2,65,72,72,64,79
139313,C. Fuchs,32,75,3700000,187.96,88.9,56,66,71,59,61
139348,A. Kay,35,60,50000,180.34,84.82,33,62,69,68,55
139368,J. Shackell,34,70,550000,193.04,83.01,46,58,80,49,56
139443,Cho Won Hee,35,66,150000,177.8,72.12,61,62,77,76,62
139476,D. Gerken,33,68,450000,182.88,77.11,51,40,70,65,64
139482,M. Bean,34,60,100000,180.34,73.03,66,81,72,70,73
139489,F. Torres,35,66,270000,170.18,69.85,54,65,67,76,85
139533,A. Hutton,33,70,675000,185.42,73.03,67,77,77,62,62
139597,Javi Guerra,36,70,625000,177.8,76.2,58,33,72,66,65
139609,C. Conway,33,66,400000,170.18,67.13,64,51,65,78,69
139668,F. Marchetti,35,77,2100000,187.96,83.01,50,34,62,51,60
139720,V. Kompany,32,85,22000000,190.5,84.82,59,66,87,41,57
139727,F. Boeckx,31,71,1400000,180.34,79.83,36,24,73,47,44
139799,S. Silva,37,71,850000,185.42,79.83,38,30,89,52,54
139836,C. Medjani,33,72,1300000,182.88,77.11,64,77,75,64,51
139860,J. Morel,34,76,2300000,175.26,78.02,70,79,77,77,65
139862,J. Marveaux,35,70,425000,177.8,72.12,52,74,71,70,63
139866,G. Loovens,34,67,230000,190.5,73.94,34,33,75,47,32
139927,Du Wei,36,64,60000,187.96,81.19,37,34,76,65,39
139997,D. Srna,36,80,1700000,177.8,78.02,76,74,72,65,71
140029,O. Perez,45,71,160000,172.72,74.84,57,41,66,69,69
140082,Rafael,36,75,900000,187.96,79.83,31,41,49,23,31
140164,Y. Gutierrez,37,61,20000,187.96,86.18,27,30,66,50,39
140180,M. Ogasawara,39,65,40000,172.72,72.12,31,45,55,65,57
140181,H. Sogahata,38,68,60000,187.96,79.83,19,37,51,32,28
140183,S. Narazaki,42,65,40000,187.96,79.83,56,40,65,62,55
140196,Y. Endo,38,71,325000,177.8,74.84,33,60,76,60,63
140201,Y. Okubo,36,69,375000,170.18,73.03,54,55,65,75,74
140222,P. Da Silva,38,72,0,180.34,76.2,32,55,81,60,60
140233,G. Ochoa,32,77,5000000,185.42,78.02,50,34,56,42,65
140293,A. Mirante,34,80,6000000,193.04,78.93,43,33,55,50,50
140300,P. Cherrie,34,58,50000,187.96,76.2,21,26,57,52,37
140384,Jì,31,77,8000000,187.96,78.02,72,70,85,54,68
140418,R. Duffy,32,62,170000,180.34,64.86,41,76,70,67,35
140420,B. Murphy,35,64,110000,182.88,83.01,32,32,41,52,47
140422,A. Baptiste,32,68,525000,180.34,73.94,55,54,80,69,63
140423,J. Buxton,33,68,375000,180.34,83.01,46,59,80,45,44
140424,C. Beardsley,34,60,110000,182.88,81.19,66,85,74,58,73
140442,A. Butler,34,65,160000,182.88,83.01,35,73,76,59,54
140445,S. MacLean,35,68,400000,180.34,78.93,61,84,74,71,76
140451,M. Kightly,32,68,700000,172.72,71.21,76,73,65,69,71
140483,L. Mazzoni,34,70,725000,190.5,78.02,35,29,40,28,29
140497,R. Wallace,33,70,1100000,167.64,63.96,67,67,31,90,83
140498,D. Marshall,33,71,1200000,190.5,83.01,50,34,63,41,33
140618,E. Jaager,33,66,260000,175.26,73.03,53,34,66,57,63
140620,R. Klavan,32,77,5000000,187.96,84.82,51,55,74,54,58
141111,Z. Dedi,33,67,475000,182.88,77.11,69,70,68,69,72
141265,M. Miki,38,66,220000,177.8,68.04,65,54,61,67,74
142258,S. Bossut,32,71,1400000,187.96,78.93,47,32,60,42,47
142270,J. Thomsen,36,67,90000,180.34,76.2,65,69,71,70,62
142329,A. Tziolis,33,70,725000,190.5,89.81,34,73,91,33,43
142333,M. McNulty,37,63,20000,185.42,73.94,38,33,49,42,48
142454,Verza,31,71,1600000,180.34,78.02,40,58,68,67,57
142499,Aitor Sanz,33,73,1600000,180.34,71.21,62,78,76,71,68
142592,I. Damonte,36,72,975000,175.26,72.12,50,74,77,69,69
142670,R. Braa,39,70,120000,170.18,69.85,41,40,61,68,60
142705,M. Gonzalez,37,72,1000000,175.26,79.83,57,66,70,75,73
142707,L. Lopez,35,79,6000000,175.26,72.12,83,77,75,80,84
142720,C. Araujo,36,71,270000,172.72,68.95,59,70,65,66,71
